week_start,store_id,product_id,category,region,channel,promo_active,promo_type,promo_start_date,promo_end_date,discount_pct,units_sold,unit_price,sales_value,cost,gross_margin,stockout
2025-12-21,2,18,Carbonated,South,Discounters,0,None,,,0.0,26,1.5,39.0,24.56,14.44,0
2025-12-21,2,19,Energy Drinks,South,Discounters,0,None,,,0.0,21,2.67,56.07,36.9,19.17,0
2025-12-21,2,20,Dairy,South,Discounters,0,None,,,0.0,29,2.42,70.18,47.36,22.82,0
2025-12-21,3,1,Carbonated,East,Discounters,0,None,,,0.0,34,1.63,55.42,35.08,20.34,0
2025-12-21,3,2,Juice,East,Discounters,0,None,,,0.0,37,2.35,86.95,60.42,26.53,0
2025-12-21,3,3,Energy Drinks,East,Discounters,0,None,,,0.0,19,2.54,48.26,30.62,17.64,0
2025-12-21,3,4,Juice,East,Discounters,0,None,,,0.0,44,2.31,101.64,62.65,38.99,0
2025-12-21,3,5,Energy Drinks,East,Discounters,0,None,,,0.0,26,2.67,69.42,40.94,28.48,0
2025-12-21,3,6,Carbonated,East,Discounters,1,Loyalty,2025-12-21,2026-01-04,0.17,37,1.34,49.58,32.5,17.08,0
2025-12-21,3,7,Juice,East,Discounters,0,None,,,0.0,45,2.51,112.95,65.93,47.02,0
2025-12-21,3,8,Carbonated,East,Discounters,1,Feature,2025-12-21,2026-01-04,0.2,45,1.11,49.95,32.72,17.23,0
2025-12-21,3,9,Water,East,Discounters,1,Discount,2025-12-21,2026-01-04,0.26,51,0.8,40.8,26.57,14.23,0
2025-12-21,3,10,Dairy,East,Discounters,0,None,,,0.0,35,2.6,91.0,52.44,38.56,0
2025-12-21,3,11,Water,East,Discounters,0,None,,,0.0,39,0.95,37.05,22.99,14.06,0
2025-12-21,3,12,Juice,East,Discounters,1,Loyalty,2025-12-21,2025-12-28,0.22,47,1.97,92.59,55.29,37.3,0
2025-12-21,3,13,Dairy,East,Discounters,0,None,,,0.0,41,2.53,103.73,59.97,43.76,0
2025-12-21,3,14,Water,East,Discounters,0,None,,,0.0,45,0.95,42.75,26.32,16.43,0
2025-12-21,3,15,Carbonated,East,Discounters,1,Discount,2025-12-21,2025-12-21,0.19,44,1.29,56.76,32.22,24.54,0
2025-12-21,3,16,Juice,East,Discounters,0,None,,,0.0,38,2.23,84.74,49.71,35.03,0
2025-12-21,3,17,Energy Drinks,East,Discounters,0,None,,,0.0,15,3.0,45.0,30.08,14.92,0
2025-12-21,3,18,Carbonated,East,Discounters,0,None,,,0.0,44,1.5,66.0,42.04,23.96,0
2025-12-21,3,19,Energy Drinks,East,Discounters,0,None,,,0.0,28,2.67,74.76,44.73,30.03,0
2025-12-21,3,20,Dairy,East,Discounters,0,None,,,0.0,38,2.42,91.96,57.1,34.86,0
2025-12-21,4,1,Carbonated,West,Hypermarket,1,Discount,2025-12-21,2026-01-04,0.11,67,1.45,97.15,66.7,30.45,0
2025-12-21,4,2,Juice,West,Hypermarket,0,None,,,0.0,57,2.35,133.95,90.8,43.15,0
2025-12-21,4,3,Energy Drinks,West,Hypermarket,0,None,,,0.0,47,2.54,119.38,69.86,49.52,0
2025-12-21,4,4,Juice,West,Hypermarket,1,Discount,2025-12-21,2026-01-04,0.23,67,1.78,119.26,66.42,52.84,0
2025-12-21,4,5,Energy Drinks,West,Hypermarket,1,Loyalty,2025-12-21,2025-12-21,0.19,54,2.16,116.64,68.37,48.27,0
2025-12-21,4,6,Carbonated,West,Hypermarket,0,None,,,0.0,42,1.61,67.62,41.91,25.71,0
2025-12-21,4,7,Juice,West,Hypermarket,0,None,,,0.0,53,2.51,133.03,81.63,51.4,0
2025-12-21,4,8,Carbonated,West,Hypermarket,0,None,,,0.0,55,1.39,76.45,46.16,30.29,0
2025-12-21,4,9,Water,West,Hypermarket,1,Discount,2025-12-21,2026-01-04,0.26,82,0.8,65.6,38.34,27.26,0
2025-12-21,4,10,Dairy,West,Hypermarket,0,None,,,0.0,42,2.6,109.2,74.86,34.34,0
2025-12-21,4,11,Water,West,Hypermarket,0,None,,,0.0,50,0.95,47.5,28.45,19.05,0
2025-12-21,4,12,Juice,West,Hypermarket,0,None,,,0.0,35,2.52,88.2,51.91,36.29,0
2025-12-21,4,13,Dairy,West,Hypermarket,0,None,,,0.0,45,2.53,113.85,63.9,49.95,0
2025-12-21,4,14,Water,West,Hypermarket,0,None,,,0.0,44,0.95,41.8,25.46,16.34,0
2025-12-21,4,15,Carbonated,West,Hypermarket,0,None,,,0.0,42,1.59,66.78,46.15,20.63,0
2025-12-21,4,16,Juice,West,Hypermarket,0,None,,,0.0,63,2.23,140.49,87.05,53.44,0
2025-12-21,4,17,Energy Drinks,West,Hypermarket,1,Discount,2025-12-21,2025-12-28,0.14,58,2.58,149.64,90.63,59.01,0
2025-12-21,4,18,Carbonated,West,Hypermarket,0,None,,,0.0,55,1.5,82.5,55.69,26.81,0
2025-12-21,4,19,Energy Drinks,West,Hypermarket,0,None,,,0.0,56,2.67,149.52,101.42,48.1,0
2025-12-21,4,20,Dairy,West,Hypermarket,0,None,,,0.0,52,2.42,125.84,87.49,38.35,0
2025-12-21,5,1,Carbonated,North,Convenience,0,None,,,0.0,34,1.63,55.42,33.25,22.17,0
2025-12-21,5,2,Juice,North,Convenience,0,None,,,0.0,35,2.35,82.25,48.11,34.14,0
2025-12-21,5,3,Energy Drinks,North,Convenience,0,None,,,0.0,36,2.54,91.44,61.24,30.2,0
2025-12-21,5,4,Juice,North,Convenience,0,None,,,0.0,36,2.31,83.16,49.05,34.11,0
2025-12-21,5,5,Energy Drinks,North,Convenience,1,Loyalty,2025-12-21,2026-01-04,0.24,40,2.03,81.2,45.19,36.01,0
2025-12-21,5,6,Carbonated,North,Convenience,0,None,,,0.0,37,1.61,59.57,40.33,19.24,0
2025-12-21,5,7,Juice,North,Convenience,0,None,,,0.0,28,2.51,70.28,45.33,24.95,0
2025-12-21,5,8,Carbonated,North,Convenience,0,None,,,0.0,31,1.39,43.09,27.91,15.18,0
2025-12-21,5,9,Water,North,Convenience,0,None,,,0.0,36,1.08,38.88,23.71,15.17,0
2025-12-21,5,10,Dairy,North,Convenience,0,None,,,0.0,22,2.6,57.2,38.6,18.6,0
2025-12-21,5,11,Water,North,Convenience,0,None,,,0.0,39,0.95,37.05,22.66,14.39,0
2025-12-21,5,12,Juice,North,Convenience,0,None,,,0.0,38,2.52,95.76,57.72,38.04,0
2025-12-21,5,13,Dairy,North,Convenience,0,None,,,0.0,19,2.53,48.07,28.45,19.62,0
2025-12-21,5,14,Water,North,Convenience,0,None,,,0.0,32,0.95,30.4,19.72,10.68,0
2025-12-21,5,15,Carbonated,North,Convenience,0,None,,,0.0,26,1.59,41.34,28.13,13.21,0
2025-12-21,5,16,Juice,North,Convenience,0,None,,,0.0,31,2.23,69.13,42.73,26.4,0
2025-12-21,5,17,Energy Drinks,North,Convenience,0,None,,,0.0,28,3.0,84.0,55.71,28.29,0
2025-12-21,5,18,Carbonated,North,Convenience,0,None,,,0.0,25,1.5,37.5,24.87,12.63,0
2025-12-21,5,19,Energy Drinks,North,Convenience,0,None,,,0.0,30,2.67,80.1,48.8,31.3,0
2025-12-21,5,20,Dairy,North,Convenience,0,None,,,0.0,22,2.42,53.24,32.72,20.52,0
2025-12-21,6,1,Carbonated,South,Supermarket,0,None,,,0.0,33,1.63,53.79,36.54,17.25,0
2025-12-21,6,2,Juice,South,Supermarket,0,None,,,0.0,41,2.35,96.35,58.85,37.5,0
2025-12-21,6,3,Energy Drinks,South,Supermarket,0,None,,,0.0,31,2.54,78.74,50.26,28.48,0
2025-12-21,6,4,Juice,South,Supermarket,0,None,,,0.0,33,2.31,76.23,49.17,27.06,0
2025-12-21,6,5,Energy Drinks,South,Supermarket,0,None,,,0.0,21,2.67,56.07,32.07,24.0,0
2025-12-21,6,6,Carbonated,South,Supermarket,0,None,,,0.0,36,1.61,57.96,36.78,21.18,0
2025-12-21,6,7,Juice,South,Supermarket,0,None,,,0.0,47,2.51,117.97,75.98,41.99,0
2025-12-21,6,8,Carbonated,South,Supermarket,0,None,,,0.0,26,1.39,36.14,20.28,15.86,0
2025-12-21,6,9,Water,South,Supermarket,0,None,,,0.0,30,1.08,32.4,20.28,12.12,0
2025-12-21,6,10,Dairy,South,Supermarket,0,None,,,0.0,33,2.6,85.8,53.31,32.49,0
2025-12-21,6,11,Water,South,Supermarket,0,None,,,0.0,41,0.95,38.95,25.56,13.39,0
2025-12-21,6,12,Juice,South,Supermarket,0,None,,,0.0,35,2.52,88.2,52.99,35.21,0
2025-12-21,6,13,Dairy,South,Supermarket,1,Discount,2025-12-21,2025-12-28,0.19,45,2.05,92.25,58.8,33.45,0
2025-12-21,6,14,Water,South,Supermarket,0,None,,,0.0,38,0.95,36.1,23.34,12.76,0
2025-12-21,6,15,Carbonated,South,Supermarket,0,None,,,0.0,23,1.59,36.57,22.44,14.13,0
2025-12-21,6,16,Juice,South,Supermarket,0,None,,,0.0,33,2.23,73.59,51.51,22.08,0
2025-12-21,6,17,Energy Drinks,South,Supermarket,0,None,,,0.0,24,3.0,72.0,49.07,22.93,0
2025-12-21,6,18,Carbonated,South,Supermarket,0,None,,,0.0,34,1.5,51.0,28.38,22.62,0
2025-12-21,6,19,Energy Drinks,South,Supermarket,0,None,,,0.0,36,2.67,96.12,64.52,31.6,0
2025-12-21,6,20,Dairy,South,Supermarket,0,None,,,0.0,35,2.42,84.7,56.47,28.23,0
2025-12-21,7,1,Carbonated,East,Discounters,0,None,,,0.0,35,1.63,57.05,35.49,21.56,0
2025-12-21,7,2,Juice,East,Discounters,1,Bundle,2025-12-21,2026-01-04,0.13,43,2.04,87.72,59.89,27.83,0
2025-12-21,7,3,Energy Drinks,East,Discounters,0,None,,,0.0,23,2.54,58.42,32.38,26.04,0
2025-12-21,7,4,Juice,East,Discounters,0,None,,,0.0,46,2.31,106.26,65.97,40.29,0
2025-12-21,7,5,Energy Drinks,East,Discounters,0,None,,,0.0,28,2.67,74.76,50.48,24.28,0
2025-12-21,7,6,Carbonated,East,Discounters,1,Feature,2025-12-21,2025-12-21,0.13,44,1.4,61.6,41.61,19.99,0
2025-12-21,7,7,Juice,East,Discounters,0,None,,,0.0,39,2.51,97.89,62.87,35.02,0
2025-12-21,7,8,Carbonated,East,Discounters,1,Feature,2025-12-21,2026-01-04,0.09,38,1.26,47.88,29.71,18.17,0
2025-12-21,7,9,Water,East,Discounters,0,None,,,0.0,34,1.08,36.72,22.14,14.58,0
2025-12-21,7,10,Dairy,East,Discounters,0,None,,,0.0,41,2.6,106.6,71.61,34.99,0
2025-12-21,7,11,Water,East,Discounters,0,None,,,0.0,44,0.95,41.8,24.97,16.83,0
2025-12-21,7,12,Juice,East,Discounters,0,None,,,0.0,33,2.52,83.16,56.49,26.67,0
2025-12-21,7,13,Dairy,East,Discounters,0,None,,,0.0,36,2.53,91.08,62.32,28.76,0
2025-12-21,7,14,Water,East,Discounters,0,None,,,0.0,48,0.95,45.6,30.05,15.55,0
2025-12-21,7,15,Carbonated,East,Discounters,0,None,,,0.0,41,1.59,65.19,38.75,26.44,0
2025-12-21,7,16,Juice,East,Discounters,0,None,,,0.0,40,2.23,89.2,54.88,34.32,0
2025-12-21,7,17,Energy Drinks,East,Discounters,0,None,,,0.0,26,3.0,78.0,44.57,33.43,0
2025-12-21,7,18,Carbonated,East,Discounters,0,None,,,0.0,34,1.5,51.0,30.9,20.1,0
2025-12-21,7,19,Energy Drinks,East,Discounters,0,None,,,0.0,25,2.67,66.75,36.97,29.78,0
2025-12-21,7,20,Dairy,East,Discounters,1,Feature,2025-12-21,2025-12-21,0.22,50,1.89,94.5,53.9,40.6,0
2025-12-21,8,1,Carbonated,West,Convenience,0,None,,,0.0,21,1.63,34.23,22.47,11.76,0
2025-12-21,8,2,Juice,West,Convenience,1,Bundle,2025-12-21,2026-01-04,0.24,36,1.79,64.44,40.22,24.22,0
2025-12-21,8,3,Energy Drinks,West,Convenience,0,None,,,0.0,30,2.54,76.2,46.46,29.74,0
2025-12-21,8,4,Juice,West,Convenience,0,None,,,0.0,31,2.31,71.61,46.29,25.32,0
2025-12-21,8,5,Energy Drinks,West,Convenience,0,None,,,0.0,31,2.67,82.77,47.13,35.64,0
2025-12-21,8,6,Carbonated,West,Convenience,1,Bundle,2025-12-21,2026-01-04,0.15,37,1.37,50.69,35.15,15.54,0
2025-12-21,8,7,Juice,West,Convenience,1,Bundle,2025-12-21,2026-01-04,0.2,39,2.01,78.39,49.74,28.65,0
2025-12-21,8,8,Carbonated,West,Convenience,0,None,,,0.0,32,1.39,44.48,24.67,19.81,0
2025-12-21,8,9,Water,West,Convenience,0,None,,,0.0,33,1.08,35.64,19.99,15.65,0
2025-12-21,8,10,Dairy,West,Convenience,0,None,,,0.0,22,2.6,57.2,34.2,23.0,0
2025-12-21,8,11,Water,West,Convenience,0,None,,,0.0,30,0.95,28.5,17.67,10.83,0
2025-12-21,8,12,Juice,West,Convenience,0,None,,,0.0,29,2.52,73.08,49.68,23.4,0
2025-12-21,8,13,Dairy,West,Convenience,0,None,,,0.0,21,2.53,53.13,32.94,20.19,0
2025-12-21,8,14,Water,West,Convenience,0,None,,,0.0,32,0.95,30.4,18.33,12.07,0
2025-12-21,8,15,Carbonated,West,Convenience,0,None,,,0.0,29,1.59,46.11,28.34,17.77,0
2025-12-21,8,16,Juice,West,Convenience,0,None,,,0.0,38,2.23,84.74,50.28,34.46,0
2025-12-21,8,17,Energy Drinks,West,Convenience,0,None,,,0.0,28,3.0,84.0,47.42,36.58,0
2025-12-21,8,18,Carbonated,West,Convenience,0,None,,,0.0,29,1.5,43.5,24.82,18.68,0
2025-12-21,8,19,Energy Drinks,West,Convenience,0,None,,,0.0,29,2.67,77.43,46.29,31.14,0
2025-12-21,8,20,Dairy,West,Convenience,0,None,,,0.0,28,2.42,67.76,40.32,27.44,0
2025-12-21,9,1,Carbonated,North,Hypermarket,0,None,,,0.0,47,1.63,76.61,45.19,31.42,0
2025-12-21,9,2,Juice,North,Hypermarket,0,None,,,0.0,54,2.35,126.9,82.75,44.15,0
2025-12-21,9,3,Energy Drinks,North,Hypermarket,1,Bundle,2025-12-21,2026-01-04,0.16,53,2.13,112.89,70.87,42.02,0
2025-12-21,9,4,Juice,North,Hypermarket,0,None,,,0.0,53,2.31,122.43,70.87,51.56,0
2025-12-21,9,5,Energy Drinks,North,Hypermarket,0,None,,,0.0,52,2.67,138.84,90.74,48.1,0
2025-12-21,9,6,Carbonated,North,Hypermarket,0,None,,,0.0,51,1.61,82.11,53.49,28.62,0
2025-12-21,9,7,Juice,North,Hypermarket,0,None,,,0.0,50,2.51,125.5,83.09,42.41,0
2025-12-21,9,8,Carbonated,North,Hypermarket,0,None,,,0.0,58,1.39,80.62,51.44,29.18,0
2025-12-21,9,9,Water,North,Hypermarket,0,None,,,0.0,61,1.08,65.88,40.9,24.98,0
2025-12-21,9,10,Dairy,North,Hypermarket,0,None,,,0.0,65,2.6,169.0,109.32,59.68,0
2025-12-21,9,11,Water,North,Hypermarket,0,None,,,0.0,44,0.95,41.8,24.09,17.71,0
2025-12-21,9,12,Juice,North,Hypermarket,0,None,,,0.0,65,2.52,163.8,90.32,73.48,0
2025-12-21,9,13,Dairy,North,Hypermarket,0,None,,,0.0,50,2.53,126.5,84.92,41.58,0
2025-12-21,9,14,Water,North,Hypermarket,0,None,,,0.0,50,0.95,47.5,31.52,15.98,1
2025-12-21,9,15,Carbonated,North,Hypermarket,1,Discount,2025-12-21,2025-12-21,0.12,70,1.4,98.0,57.36,40.64,0
2025-12-21,9,16,Juice,North,Hypermarket,0,None,,,0.0,47,2.23,104.81,59.5,45.31,1
2025-12-21,9,17,Energy Drinks,North,Hypermarket,0,None,,,0.0,48,3.0,144.0,93.0,51.0,0
2025-12-21,9,18,Carbonated,North,Hypermarket,0,None,,,0.0,50,1.5,75.0,48.06,26.94,0
2025-12-21,9,19,Energy Drinks,North,Hypermarket,0,None,,,0.0,52,2.67,138.84,90.53,48.31,0
2025-12-21,9,20,Dairy,North,Hypermarket,0,None,,,0.0,56,2.42,135.52,85.67,49.85,0
2025-12-21,10,1,Carbonated,South,Hypermarket,0,None,,,0.0,50,1.63,81.5,53.59,27.91,0
2025-12-21,10,2,Juice,South,Hypermarket,1,Bundle,2025-12-21,2025-12-28,0.18,75,1.93,144.75,88.21,56.54,0
2025-12-21,10,3,Energy Drinks,South,Hypermarket,1,Feature,2025-12-21,2026-01-04,0.22,76,1.98,150.48,93.42,57.06,0
2025-12-21,10,4,Juice,South,Hypermarket,0,None,,,0.0,47,2.31,108.57,74.23,34.34,0
2025-12-21,10,5,Energy Drinks,South,Hypermarket,1,Bundle,2025-12-21,2025-12-28,0.21,67,2.11,141.37,93.19,48.18,0
2025-12-21,10,6,Carbonated,South,Hypermarket,0,None,,,0.0,42,1.61,67.62,40.7,26.92,0
2025-12-21,10,7,Juice,South,Hypermarket,0,None,,,0.0,36,2.51,90.36,50.15,40.21,1
2025-12-21,10,8,Carbonated,South,Hypermarket,0,None,,,0.0,52,1.39,72.28,47.93,24.35,0
2025-12-21,10,9,Water,South,Hypermarket,0,None,,,0.0,56,1.08,60.48,34.56,25.92,0
2025-12-21,10,10,Dairy,South,Hypermarket,1,Bundle,2025-12-21,2025-12-28,0.21,53,2.05,108.65,70.7,37.95,0
2025-12-21,10,11,Water,South,Hypermarket,1,Loyalty,2025-12-21,2026-01-04,0.12,57,0.84,47.88,27.37,20.51,0
2025-12-21,10,12,Juice,South,Hypermarket,0,None,,,0.0,42,2.52,105.84,61.44,44.4,0
2025-12-21,10,13,Dairy,South,Hypermarket,0,None,,,0.0,41,2.53,103.73,68.9,34.83,0
2025-12-21,10,14,Water,South,Hypermarket,0,None,,,0.0,55,0.95,52.25,30.23,22.02,0
2025-12-21,10,15,Carbonated,South,Hypermarket,0,None,,,0.0,62,1.59,98.58,57.76,40.82,0
2025-12-21,10,16,Juice,South,Hypermarket,0,None,,,0.0,47,2.23,104.81,65.46,39.35,0
2025-12-21,10,17,Energy Drinks,South,Hypermarket,0,None,,,0.0,59,3.0,177.0,98.56,78.44,0
2025-12-21,10,18,Carbonated,South,Hypermarket,0,None,,,0.0,51,1.5,76.5,46.43,30.07,0
2025-12-21,10,19,Energy Drinks,South,Hypermarket,0,None,,,0.0,48,2.67,128.16,82.82,45.34,0
2025-12-21,10,20,Dairy,South,Hypermarket,0,None,,,0.0,32,2.42,77.44,52.34,25.1,0
2025-12-21,11,1,Carbonated,East,Discounters,1,Bundle,2025-12-21,2025-12-28,0.18,43,1.34,57.62,31.83,25.79,0
2025-12-21,11,2,Juice,East,Discounters,0,None,,,0.0,37,2.35,86.95,58.43,28.52,0
2025-12-21,11,3,Energy Drinks,East,Discounters,0,None,,,0.0,21,2.54,53.34,29.97,23.37,0
2025-12-21,11,4,Juice,East,Discounters,0,None,,,0.0,37,2.31,85.47,58.01,27.46,0
2025-12-21,11,5,Energy Drinks,East,Discounters,0,None,,,0.0,20,2.67,53.4,30.03,23.37,0
2025-12-21,11,6,Carbonated,East,Discounters,0,None,,,0.0,38,1.61,61.18,41.92,19.26,0
2025-12-21,11,7,Juice,East,Discounters,0,None,,,0.0,39,2.51,97.89,62.11,35.78,0
2025-12-21,11,8,Carbonated,East,Discounters,0,None,,,0.0,42,1.39,58.38,34.73,23.65,0
2025-12-21,11,9,Water,East,Discounters,0,None,,,0.0,43,1.08,46.44,26.52,19.92,0
2025-12-21,11,10,Dairy,East,Discounters,0,None,,,0.0,38,2.6,98.8,55.47,43.33,0
2025-12-21,11,11,Water,East,Discounters,0,None,,,0.0,42,0.95,39.9,24.64,15.26,0
2025-12-21,11,12,Juice,East,Discounters,0,None,,,0.0,39,2.52,98.28,63.17,35.11,0
2025-12-21,11,13,Dairy,East,Discounters,1,Bundle,2025-12-21,2025-12-28,0.23,46,1.95,89.7,59.58,30.12,0
2025-12-21,11,14,Water,East,Discounters,0,None,,,0.0,33,0.95,31.35,18.91,12.44,0
2025-12-21,11,15,Carbonated,East,Discounters,0,None,,,0.0,37,1.59,58.83,38.75,20.08,0
2025-12-21,11,16,Juice,East,Discounters,1,Feature,2025-12-21,2025-12-28,0.14,43,1.92,82.56,51.4,31.16,0
2025-12-21,11,17,Energy Drinks,East,Discounters,0,None,,,0.0,22,3.0,66.0,37.64,28.36,0
2025-12-21,11,18,Carbonated,East,Discounters,0,None,,,0.0,30,1.5,45.0,30.25,14.75,0
2025-12-21,11,19,Energy Drinks,East,Discounters,0,None,,,0.0,21,2.67,56.07,36.16,19.91,0
2025-12-21,11,20,Dairy,East,Discounters,0,None,,,0.0,38,2.42,91.96,58.36,33.6,0
2025-12-21,12,1,Carbonated,West,Discounters,0,None,,,0.0,44,1.63,71.72,41.7,30.02,0
2025-12-21,12,2,Juice,West,Discounters,0,None,,,0.0,47,2.35,110.45,73.82,36.63,0
2025-12-21,12,3,Energy Drinks,West,Discounters,0,None,,,0.0,28,2.54,71.12,42.95,28.17,0
2025-12-21,12,4,Juice,West,Discounters,1,Bundle,2025-12-21,2025-12-28,0.21,56,1.82,101.92,61.13,40.79,0
2025-12-21,12,5,Energy Drinks,West,Discounters,0,None,,,0.0,21,2.67,56.07,34.13,21.94,0
2025-12-21,12,6,Carbonated,West,Discounters,0,None,,,0.0,37,1.61,59.57,41.36,18.21,1
2025-12-21,12,7,Juice,West,Discounters,0,None,,,0.0,41,2.51,102.91,67.75,35.16,0
2025-12-21,12,8,Carbonated,West,Discounters,0,None,,,0.0,41,1.39,56.99,36.06,20.93,0
2025-12-21,12,9,Water,West,Discounters,0,None,,,0.0,45,1.08,48.6,29.88,18.72,0
2025-12-21,12,10,Dairy,West,Discounters,0,None,,,0.0,42,2.6,109.2,72.38,36.82,0
2025-12-21,12,11,Water,West,Discounters,0,None,,,0.0,52,0.95,49.4,30.8,18.6,0
2025-12-21,12,12,Juice,West,Discounters,0,None,,,0.0,42,2.52,105.84,68.01,37.83,0
2025-12-21,12,13,Dairy,West,Discounters,0,None,,,0.0,43,2.53,108.79,63.73,45.06,0
2025-12-21,12,14,Water,West,Discounters,0,None,,,0.0,45,0.95,42.75,26.63,16.12,0
2025-12-21,12,15,Carbonated,West,Discounters,0,None,,,0.0,39,1.59,62.01,42.16,19.85,0
2025-12-21,12,16,Juice,West,Discounters,0,None,,,0.0,45,2.23,100.35,62.59,37.76,0
2025-12-21,12,17,Energy Drinks,West,Discounters,0,None,,,0.0,28,3.0,84.0,49.66,34.34,0
2025-12-21,12,18,Carbonated,West,Discounters,0,None,,,0.0,36,1.5,54.0,31.87,22.13,0
2025-12-21,12,19,Energy Drinks,West,Discounters,0,None,,,0.0,37,2.67,98.79,66.63,32.16,0
2025-12-21,12,20,Dairy,West,Discounters,0,None,,,0.0,39,2.42,94.38,55.26,39.12,0
2025-12-21,13,1,Carbonated,North,Hypermarket,0,None,,,0.0,65,1.63,105.95,70.75,35.2,0
2025-12-21,13,2,Juice,North,Hypermarket,0,None,,,0.0,76,2.35,178.6,117.09,61.51,0
2025-12-21,13,3,Energy Drinks,North,Hypermarket,0,None,,,0.0,48,2.54,121.92,77.62,44.3,0
2025-12-21,13,4,Juice,North,Hypermarket,0,None,,,0.0,63,2.31,145.53,96.41,49.12,0
2025-12-21,13,5,Energy Drinks,North,Hypermarket,0,None,,,0.0,72,2.67,192.24,118.95,73.29,0
